m0,m1,m2,m3,voltage_mV,std_mV
2750,957,1564,746,4.3740043336283465,6.237516857397748
2860,713,1569,618,2.883449812311167,7.434646388051485
2757,545,607,554,555.3147984252448,1.1368683772161603e-13
3076,408,707,442,46.9884334849086,7.778617365835631
2934,997,703,839,4.10940885647145,6.491259244219008
2326,608,981,478,5.0443128757591476,5.486137650642579
2793,504,981,1077,130.29877620776998,2.7635264435797247
2280,227,937,722,4.144688253425704,6.458629320898397
2483,502,990,1283,15.321817682424392,8.854681251156125
2200,545,763,618,6.6495864741965995,2.4442794620290056
3035,662,881,1229,6.111514633625295,3.770771796884871
2668,823,819,681,127.16574602496412,7.10670752998284
2179,126,1154,1018,4.665089877010407,5.958561580605003
2207,70,883,871,4.056489761040071,6.539542032708298
3130,283,1388,804,6.102725302896207,3.830349295162324
2920,439,815,1400,5.6088137455366684,4.721758194545332
2167,208,1031,1406,4.779717398602252,5.803641750507228
2585,232,745,697,8.816797387615589,5.426221022652188
2536,837,1030,853,745.3163243507184,7.834830226176675
2884,217,1509,1267,5.176610614337596,5.315347836565629
2906,290,1194,803,5.573503830072939,4.744316518713915
2375,190,829,774,4.224066896572773,6.383889495880732
2543,280,1220,453,4.867915890987884,5.701137176114191
2454,652,691,693,83.64400158696252,8.316472452103119
2830,238,940,796,505.66423535874515,7.035346541657266
3045,1004,1049,979,4.779717398602251,5.8036417505072295
2759,35,1373,872,4.8590960417493205,5.711531708331186
2761,194,1389,773,4.541581469161047,6.065363573542014
2844,242,1501,1339,7.144383068330942,2.5253785376970286
2311,99,781,1417,4.876735740226448,5.690709987953072
2764,543,870,1401,5.635242774742882,4.646143886493181
2591,375,736,432,7.091250343333233,2.2676663657438425
2804,348,716,1388,4.082949308755761,6.515499090190556
2755,646,878,531,25.490890224921408,4.808316097533853
2516,849,1208,903,219.20163579210794,1.7699850437176545
2901,480,996,1056,60.653401287881096,3.185038197617645
2470,42,849,1237,4.779717398602252,5.803641750507228
2955,60,1116,1125,315.6273079622791,8.82725581158443
3066,371,897,1387,5.106051820429091,5.407509915677526
2859,589,937,776,63.39701528977325,6.92295090510031
2890,393,1534,1014,6.067445905941955,3.902856175479637
2285,342,679,731,4.709158604693747,5.883408010623855
3127,210,1078,583,5.5999633777886295,4.702592754445912
2273,145,780,596,2.733512375255593,7.528241203310802
3086,886,1511,507,3.5625782036805327,6.954690212795884
3055,172,1329,459,3.783074434644613,6.776950851593713
2658,765,1198,773,4.982573931089206,5.562969149731777
2159,235,1016,664,3.9859309671315653,6.60271020938717
2429,949,1563,1043,6.252662739951782,3.5015403354182792
3003,701,826,635,3.8007141331217387,6.76221930656212
3087,359,628,997,5.732291634876554,4.520496060613496
2242,862,717,821,24.464247566148867,4.745613072181919
2793,740,1292,903,5.749900814844204,4.455822402293133
2577,952,1082,795,5.414746543778802,4.984385458734648
2325,615,916,859,13.587145603808711,8.567041692566017
2803,758,831,926,6.887905514694663,1.933285208628415
2350,932,1058,609,4.779717398602252,5.803641750507228
2427,1029,802,1324,6.014526810510575,4.008576411562793
2443,381,907,519,6.296761986144596,3.3975243445666146
2480,884,1192,1165,849.7210608233893,8.44083072969015
2231,325,766,490,5.458845789971618,4.919389016723014
2352,796,1475,896,6.596728415784173,2.7380709351430825
2515,616,1565,1066,6.5526291695913566,2.870731976582659
2628,932,612,1384,4.294625690481277,6.3158742717136205
2894,664,1015,596,5.705832087160863,4.5646520065895215
2824,337,1197,1233,1281.229285561693,3.384313970704455
2771,431,911,643,670.0487075411236,8.8168676255428
2316,33,1026,969,4.832636494033632,5.742521139846956
2726,195,1410,753,5.820520645771661,4.404528111621549
2835,665,1311,607,5.3265480513931704,5.1107582751425
2775,626,1490,902,6.393841364787744,3.2519649244363795
3075,692,833,447,6.4467604602191235,3.1142786295888496
2866,979,1340,577,4.753257850886563,5.833781921580147
2304,763,878,1043,8.630939664906768,5.177873595002092
2845,310,1194,1376,183.6572771385846,2.646127175466717
2712,935,690,619,6.896725363933227,1.8929275623039228
2414,991,1159,471,5.670522171697135,4.588729469268136
2353,629,1269,489,4.259346293527025,6.35007095170634
2489,670,1372,1379,680.0460219122898,5.265780697033582
2952,1022,1419,925,4.021210364085818,6.571296728135287
3125,362,1107,1161,20.773644215216525,7.411510594726012
2186,953,1519,911,3.712515640736107,6.835104333159122
2998,388,1238,625,5.62648396252327,4.726886433675844
2788,109,624,586,8.745994445631275,5.3337400436125675
2631,899,803,1010,7.683980834376049,3.5540774422084573
2172,889,1307,951,6.578997161778619,2.618844231293193
3056,548,1576,1078,5.388286996063113,5.0227937952404
2187,990,1094,1064,130.75014496292,0.39570151571833606
