m0,m1,m2,m3,voltage_mV,std_mV
2350,300,1120,937,6.367412335581531,3.3650737513621767
2625,773,856,421,6.879055146946624,1.8919859220918347
2191,103,878,1043,5.6969817194128245,4.545013025688299
2679,497,1586,450,5.5029755546739105,4.885193448768643
2940,191,1084,483,5.9792474135563225,4.077152470980131
2504,829,1217,740,6.684987945188757,2.5732728327055283
2455,454,818,1289,6.676046021912291,2.3501906630709484
2602,279,908,1390,6.790734580523088,1.9658767057338835
2341,604,1185,577,5.1325113681447805,5.373242969574723
2448,278,768,1098,6.534897915585804,2.756964068210738
2279,252,1114,1382,5.450056459242531,4.964047847470478
2251,90,637,1407,5.1325113681447805,5.373242969574723
2400,812,653,1332,6.2702719199194314,3.414956332142171
2553,571,1581,685,5.167790765099033,5.327006406972449
2261,706,1035,1219,13.215430158391065,8.461946712089189
2975,183,1130,1387,78.65193639942629,3.9028561754796365
2366,501,1308,1014,6.393841364787744,3.2519649244363795
3113,54,1006,1144,555.3059480574968,0.395701515718338
3082,381,658,1285,5.661732840968047,4.6369755082061985
3061,59,1511,1286,6.093874935148168,3.807846699539909
2536,255,1023,719,6.737815485091709,2.1857770489678003
2522,153,1080,820,5.9792474135563225,4.077152470980131
2523,640,730,668,572.672383800775,2.4794970446973466
2567,649,986,510,6.561357463301493,2.6750353553686295
3115,257,1093,1225,148.59248634296696,2.3367485028574695
2688,610,722,567,1746.38264107181,8.348369454998117
2970,335,637,1299,5.908658101138341,4.172814127677531
2222,981,939,854,131.2900173955504,3.0678494810715256
2759,140,849,1308,6.83486434522538,1.8471183173556731
3070,263,802,1374,5.7851802117984565,4.3950026479955335
2481,326,1476,1266,6.367351298562578,3.2709592211793646
3042,742,892,1279,5.961577196569721,4.072736693668772
2599,854,868,1340,7.038178655354472,2.1274171672229403
2331,173,1292,895,5.4059266945402396,4.997236604712642
2799,832,1458,693,5.749931333353679,4.490730957404352
2791,370,1045,1163,692.762840662862,7.426212735073511
2605,34,1347,800,5.203070162053286,5.280129282325193
2860,232,598,1305,4.797357097079379,5.78339378830529
2420,117,1197,466,5.070772423474837,5.452664487462649
2959,251,1226,1041,23.065889461958676,5.510020326205364
2648,854,1278,619,5.864589373455001,4.29046208092607
2221,748,1031,1163,8.303506576738794,4.723818453100396
2638,360,1232,716,6.667256691183204,2.4466662293233274
2678,362,722,975,41.05868709372234,4.619103502366177
2423,390,1466,720,5.097231971190528,5.418855367007309
2283,129,966,648,4.744438001648,5.843767477381458
2598,719,1225,799,6.446668904690695,2.960054935504751
2636,309,1299,1284,82.05642872402115,7.570858098617029
2662,273,1556,762,5.247169408246101,5.220605776384518
2310,165,1495,584,5.097262489700004,5.447599891375738
3073,972,1573,993,4.876735740226448,5.690709987953073
2209,43,1025,868,4.96493423261208,5.584601503840675
2579,697,1543,558,5.026673177282023,5.508269476919832
3037,907,771,1272,5.114871669667654,5.3961261946211385
2470,954,1005,1256,80.46003601184121,6.350070951706337
3126,713,1373,988,5.35300759910886,5.07333797492167
2672,817,1313,904,6.561357463301492,2.6750353553686295
2706,413,1500,499,5.088412121951964,5.430162788485801
2697,865,1522,581,4.832636494033632,5.742521139846956
2749,505,1398,619,5.247169408246101,5.220605776384518
2646,540,1593,986,5.644062623981446,4.631882194664789
2874,654,659,951,7.232703634754479,2.4556073375829723
2946,998,1334,521,6.058595538193915,3.8806935745369118
2743,311,1176,937,6.7289956358531455,2.220188083748341
2639,678,960,468,6.481978820154424,2.913198185719444
2192,40,943,1089,3.800714133121739,6.76221930656212
3019,958,1011,1392,3.677236243781854,6.863724319766141
2203,668,1239,1378,7.082247383037813,1.8511562621030593
2303,706,757,710,94.94222846156194,3.3619247684782536
2224,292,1292,732,4.859096041749321,5.7115317083311865
2673,99,1302,1108,6.411420026245918,3.1079213223897426
2499,454,1394,629,4.964964751121555,5.612497939396695
2978,701,1552,1281,6.208532975249489,3.558402032471508
2638,870,907,936,71.6278572954497,8.422979192680144
2618,236,788,1417,5.423566393017365,4.971485445973838
2210,979,1384,1060,6.932157353434859,2.127239213196713
2478,806,1567,1157,6.667226172673727,2.381999239610295
2582,626,695,857,217.28995635853147,5.4715318386303435
3063,52,1559,585,5.502945036164434,4.853121542619253
2933,345,684,1402,5.76754051332133,4.425552161854486
2435,311,822,1419,5.458845789971618,4.919389016723014
2607,730,1211,1159,191.5167699209571,8.74500394368098
2846,445,815,721,1047.984954374828,6.237516857397731
2443,610,726,1004,9.67528305917539,6.3805627416370685
2877,788,615,457,5.555864131595814,4.771848182418647
2489,541,1261,1163,8.037995544297617,4.273008411361563
3104,175,1108,700,5.070772423474838,5.452664487462648
2185,1023,1241,509,5.088442640461441,5.458847821268352
2454,591,893,1366,7.30344553971984,2.5719559017446203
3006,554,1492,511,4.647419660023805,5.951640539930814
2309,294,1301,940,5.370647297585986,5.048159963551695
