m0,m1,m2,m3,voltage_mV,std_mV
116,2559,1236,1356,4.541581469161047,6.065363573542014
2778,1753,3387,2438,5.282448805200354,5.172223099329656
922,1889,3490,1507,4.532761619922483,6.074661158685962
2762,2494,670,2387,5.000213629566332,5.541196192800857
659,184,556,2323,4.426923429059725,6.184161055186539
685,1105,306,1384,5.361827448347423,5.060772312842661
3141,2369,1885,3104,4.638599810785241,5.9612720944375335
490,1324,2416,891,3.730155339213233,6.820680876715626
1783,319,4006,2361,5.0443128757591476,5.48613765064258
3699,1336,3865,3535,5.6969817194128245,4.545013025688299
1134,2651,2191,3415,4.726798303170874,5.86364777536556
1060,1284,2456,103,4.823816644795069,5.752786809718027
1740,3355,3440,3441,5.864558854945524,4.253911213840385
5,722,3208,368,5.494125186925872,4.866479197991237
1107,4081,1537,1980,3.9330118717001863,6.649201219291394
1473,3130,1567,4047,4.391644032105472,6.219832473705976
569,3609,3027,1130,5.785241248817408,4.4654973372908255
1066,1509,1086,1263,4.859126560258797,5.738811730519902
1137,1259,1434,2929,5.467665639210181,4.906238838329559
1008,2869,1590,2875,4.832636494033632,5.742521139846956
2520,3708,985,3736,3.8889126255073707,6.687376967600536
3758,4093,2078,344,5.344187749870296,5.08585729583996
2906,2064,2812,685,5.476485488448745,4.893037420675483
3192,3774,699,297,5.273628955961792,5.184383606491333
1012,1783,426,3146,5.370677816095462,5.079001222398241
1920,894,1699,1926,4.426923429059725,6.184161055186539
248,2804,3623,385,5.2295297097689755,5.244540746063698
995,4040,1890,970,5.617603076265755,4.674486813870047
517,350,577,84,4.462202826013978,6.148080240229909
557,2690,3926,3661,5.450086977752006,4.995407949766902
1528,2897,2385,2203,5.097262489700003,5.447599891375738
2026,1733,3338,3843,5.811639759514146,4.348641849781162
43,1493,71,3362,5.5117648854029975,4.839710947040902
2577,3479,1380,1840,4.294625690481277,6.3158742717136205
958,3738,831,801,4.612140263069552,5.989995918959184
2884,743,1839,3740,5.185430463576159,5.303648971034857
499,1447,1225,1736,4.444563127536852,6.166172269516806
1517,3361,3406,1634,5.423566393017366,4.971485445973838
237,3702,4093,521,5.432386242255928,4.95853618503816
2504,3507,23,47,4.259346293527025,6.35007095170634
3752,944,2285,3974,4.35636463515122,6.255101499875922
3046,4033,2776,920,5.06198309274575,5.492368426883526
2588,3218,3132,3233,5.017883846552936,5.54750559697221
1211,1851,3558,3036,5.379497665334026,5.066418845148486
3802,3279,3533,1870,5.5117648854029975,4.839710947040902
3646,3916,1152,3921,4.7532578508865635,5.833781921580147
3890,152,1911,3116,3.6507766960661647,6.884992605125343
2159,11,1704,279,4.850276192510758,5.721893762574818
1175,2108,3806,312,6.0762352366710415,3.844483152816109
3741,3528,484,126,4.9384746848963905,5.616789955511844
165,2575,3685,4005,5.961577196569721,4.072736693668772
2538,2714,3089,3554,4.71797845393231,5.87354282492703
2220,1973,2697,1299,3.8800927762688073,6.694951137893703
337,1640,3201,2553,5.917477950376904,4.156348689833818
321,2153,2696,2518,4.144688253425703,6.458629320898397
2499,674,40,3337,4.4710226752525415,6.13899522418428
1123,3900,3543,1682,5.846949674977875,4.32207473750831
1892,3826,2288,182,3.853633228553118,6.7175529292940634
2920,3587,2358,64,5.017853328043459,5.5192809690601194
455,3393,994,3819,4.3034455397198395,6.307265298724039
630,3107,387,793,3.1921445356608786,7.228354781863338
3687,3095,4041,4022,5.582323679311503,4.7304659323754485
1492,617,2510,924,5.194250312814723,5.291909543137914
1761,4046,2683,2568,5.2295602282784515,5.27423460324205
3900,661,179,864,5.167821283608509,5.356243463585287
3774,3118,327,3075,4.99139378032777,5.552100349753207
3309,1919,2856,2143,4.7532883693960395,5.860493459742388
2309,1691,3044,257,5.485335856196784,4.911682266105802
1328,2966,1721,419,5.397137363811152,5.041113584391643
1911,3958,664,3468,4.5680410168767365,6.037307600377067
3157,3946,2764,2916,5.35300759910886,5.07333797492167
3401,888,1071,285,5.053132724997712,5.475016876530337
3582,2727,2636,4084,4.585680715353863,6.018466334461384
636,3341,2886,982,4.8414563432721955,5.732223514974926
3764,2811,1490,2772,4.62977996154668,5.970875084257766
2783,1584,3100,1307,4.36521500289926,6.27127811691887
1254,2904,134,191,5.097231971190528,5.418855367007308
2414,2381,3265,3627,5.141331217383343,5.36174297143814
2041,2428,695,1332,4.532761619922484,6.074661158685962
1696,63,912,1418,4.797357097079379,5.783393788305289
3570,2191,3983,1998,4.982573931089206,5.562969149731777
3199,1189,2527,2374,5.097231971190528,5.418855367007309
2708,1738,891,1991,4.541581469161047,6.065363573542014
2632,3674,2838,97,5.494125186925871,4.866479197991237
1538,2117,864,3780,4.982573931089206,5.562969149731777
283,1724,1281,4035,5.652882473220008,4.617559608389073
3609,3381,3396,3406,4.665059358500932,5.9322911799203695
2814,3297,2790,316,4.6738792077394935,5.922573092630074
1570,911,3964,1525,5.432386242255928,4.95853618503816
321,2251,2144,120,4.929654835657826,5.627450878913955
