m0,m1,m2,m3,voltage_mV,std_mV
3210,3582,158,950,2.912305063020722,10.911468511892021
2775,3342,1786,3132,0.8539841914120913,6.055588068577097
2398,645,135,705,1.379512924588763,7.649275612493692
2109,1806,2637,1839,2.5181585131382183,10.195060837566121
1421,312,2715,1090,4.029053621021149,12.65762013039103
2174,304,2101,3783,1.5765861995300148,8.158399861738872
1738,48,2392,997,2.321085238196966,9.81133589540272
368,3817,752,2669,0.7663960692159795,5.742493652207621
27,1116,1378,306,1.5546891689809867,8.103646959406143
1886,1628,2092,159,2.9560991241187775,10.987313758237345
3593,445,1251,2621,0.6569109164708394,5.323275764012732
3072,1405,1954,2887,2.9779961546678058,11.024975485237206
1636,657,1925,1054,2.2334971160008545,9.634593909101156
1623,481,909,2059,1.5765861995300148,8.158399861738872
4024,2804,4005,2530,2.408673360393078,9.98418153647293
388,1356,2646,1170,3.8976714377269808,12.470084941470544
3290,2093,3979,1836,1.7517624439222386,8.581848276360633
1173,3075,1917,339,1.2919248023926508,7.410098787131003
1974,558,4029,3816,1.8174535355693227,8.734445250022883
3438,2323,2414,3569,1.4671010467848749,7.880223816519517
657,3486,3101,597,2.6714377269814134,10.481246467187773
3235,2488,949,1676,1.7955565050202944,8.683932756715123
3008,3448,1026,3864,0.9853663747062592,6.494786241706041
917,3446,1344,1854,1.6203802606280706,8.266643813966857
4071,2715,675,3954,1.357615894039735,7.590282767823524
726,1840,840,580,1.335718863490707,7.5307641468348345
1002,2178,2835,1702,2.8466139713736385,10.7963686062906
1380,771,2410,4072,6.788079470198675,15.849275824548181
3650,2697,3231,2689,3.1093783379619735,11.247402867377485
1368,1747,399,2614,1.7298654133732108,8.530263610012025
1030,892,2757,473,2.671437726981414,10.481246467187773
2726,643,3763,2143,3.6130100405896175,12.048839816018386
2439,3987,3769,2703,4.7297585985900445,13.592818715953344
808,1576,4016,3606,4.182332834864345,12.871263798122946
3990,2398,1244,1437,0.7007049775688954,5.4950640700336075
2947,3953,1989,1005,2.627643665883358,10.400513257179119
2302,2215,1349,1850,1.5984832300790426,8.212729363948112
3826,373,622,3871,1.4889980773339029,7.936759886713515
2962,730,1525,2734,2.3648792992950227,9.898232893937175
875,510,142,1785,1.532792138431959,8.048462015905292
3977,4089,3263,1103,2.2334971160008545,9.634593909101156
188,487,3456,1565,1.5765861995300148,8.158399861738873
2661,2638,3853,3482,2.3429822687459945,9.8549045006771
1244,1917,1071,1058,39.064302499465924,13.592818715953344
1392,2560,3499,3864,2.408673360393078,9.98418153647293
3884,435,1176,2951,1.8393505661183505,8.784612715894253
562,3763,3808,590,1.270027771843623,7.348925315656259
3500,2771,710,1008,0.6788079470198675,5.409896161359911
3958,2904,2310,988,1.291924802392651,7.410098787131003
1728,3164,2789,949,4.116641743217261,12.780364657523098
1164,3842,3206,1404,1.6641743217261267,8.37325956544984
273,355,3784,830,3.328348643452254,11.605343560386709
4055,1140,2278,1310,3.4378337961973933,11.778709696114994
637,1204,1384,2719,1.138645588549455,6.969175037093242
1525,1175,1095,1936,1.0729544969023712,6.770362135096863
218,1027,1306,781,1.8174535355693227,8.734445250022883
